year,type,province,all,female,male,female_ratio,male_ratio,sex_ratio,female_ratio_index,male_ratio_index,sex_ratio_index,high,low,high_ratio,low_ratio,type_ratio,high_ratio_index,low_ratio_index,type_ratio_index,all_index,high_index,low_index,all_avg
2013,Postgraduate Students,江苏,40287,19363,20924,0.4806265048278601,0.5193734951721399,1.0806176728812684,0,1,1,3989,36298,0.09901457045697123,0.9009854295430287,0.1098958620309659,0,1,0,1,1,1,30832.58284462998
2013,Postgraduate Students,浙江,15592,7500,8092,0.4810159055926116,0.5189840944073884,1.0789333333333333,0,1,1,1661,13931,0.10652898922524372,0.8934710107747563,0.11923049314478501,1,0,1,0,0,0,23490.64438379226
2013,Postgraduate Students,安徽,13205,5708,7497,0.4322605073835668,0.5677394926164332,1.3134197617379118,0,1,1,1229,11976,0.0930708065126846,0.9069291934873154,0.10262191048764195,0,1,0,0,0,0,22202.588266265728
2013,Postgraduate Students,福建,10179,5633,4546,0.5533942430494154,0.4466057569505845,0.807030001775253,1,0,0,979,9200,0.0961784065232341,0.9038215934767659,0.10641304347826087,0,1,0,0,0,0,15112.898253193962
2013,Postgraduate Students,江西,7853,3837,4016,0.4886030816248567,0.5113969183751432,1.0466510294500913,0,1,1,140,7713,0.017827581815866547,0.9821724181841335,0.018151173343705432,0,1,0,0,0,0,16440.29439312474
2013,Postgraduate Students,山东,22623,12782,9841,0.5650002210140123,0.4349997789859877,0.7699108120794868,1,0,0,1557,21066,0.06882376342660125,0.9311762365733988,0.0739105667900883,0,1,0,0,0,0,36937.19043082704
2013,Postgraduate Students,河南,10660,5852,4808,0.5489681050656661,0.45103189493433393,0.8215994531784006,1,0,0,250,10410,0.02345215759849906,0.9765478424015009,0.024015369836695485,0,1,0,0,0,0,36150.64683599383
2013,Postgraduate Students,湖北,34585,16779,17806,0.485152522769987,0.514847477230013,1.0612074617080876,0,1,1,3948,30637,0.1141535347694087,0.8858464652305913,0.12886379214675067,1,0,1,1,1,1,21011.23521513135
2013,Postgraduate Students,湖南,17236,8619,8617,0.5000580181016477,0.49994198189835226,0.9997679545190857,0,1,1,1491,15745,0.0865049895567417,0.9134950104432583,0.09469672912035566,0,1,0,0,0,0,24173.625184100736
2013,Postgraduate Students,广东,24353,11977,12376,0.4918079908019546,0.5081920091980454,1.0333138515488018,0,1,1,2907,21446,0.11936927688580462,0.8806307231141953,0.13554975286766763,1,0,1,0,0,0,45845.21664831379
2013,Postgraduate Students,广西,7518,2975,4543,0.3957169459962756,0.6042830540037244,1.5270588235294118,0,1,1,140,7378,0.0186219739292365,0.9813780260707635,0.018975332068311195,0,1,0,0,0,0,18236.8733808061
2013,Postgraduate Students,海南,1029,575,454,0.5587949465500486,0.4412050534499514,0.7895652173913044,1,0,0,23,1006,0.022351797862001945,0.9776482021379981,0.02286282306163022,0,1,0,0,0,0,3667.701445847827
2013,Postgraduate Students,重庆,14189,7319,6870,0.5158221157234477,0.4841778842765523,0.9386528214236918,1,0,0,895,13294,0.06307703150327719,0.9369229684967229,0.06732360463366932,0,1,0,1,0,1,11661.77757934111
2013,Postgraduate Students,四川,24384,11237,13147,0.46083497375328086,0.5391650262467191,1.1699741924001068,0,1,1,2243,22141,0.09198654855643044,0.9080134514435696,0.10130527076464478,0,1,0,0,0,0,30442.154987537553
